,layer_A,layer_B,feature_A,feature_B,weight
139,0,1,5753,13612,0.003146701492369175
140,0,1,5783,2458,0.0017361111240461469
141,0,1,5783,17359,0.0016276041278615594
142,0,1,6002,4948,0.0029839409980922937
143,0,1,6002,6941,0.001953125
144,0,1,6002,10480,0.002170138992369175
145,0,1,6061,2065,0.0013020833721384406
146,0,1,6061,17591,0.0013020833721384406
147,0,1,6111,4238,0.0135633684694767
148,0,1,6111,4327,0.0034722222480922937
149,0,1,6111,4498,0.0018988715019077063
150,0,1,6111,8490,0.0018446180038154125
151,0,1,6111,9045,0.002170138992369175
152,0,1,6111,9431,0.0013020833721384406
153,0,1,6111,9897,0.003634982742369175
154,0,1,6111,9965,0.02788628451526165
155,0,1,6111,11741,0.0017361111240461469
156,0,1,6111,15777,0.002170138992369175
157,0,1,6111,23413,0.0014105902519077063
158,0,1,6111,23454,0.0011393228778615594
159,0,1,6111,23856,0.0024956597480922937
160,0,1,6481,16873,0.0027669270057231188
161,0,1,6515,2505,0.0011393228778615594
162,0,1,6515,17271,0.0013563367538154125
163,0,1,6717,11094,0.0029839409980922937
164,0,1,6717,18918,0.0029839409980922937
165,0,1,6717,24149,0.0020616319961845875
166,0,1,6807,7218,0.0028754340019077063
167,0,1,6834,21829,0.0032552082557231188
168,0,1,7034,147,0.001953125
169,0,1,7034,277,0.0029839409980922937
170,0,1,7034,344,0.0020073784980922937
171,0,1,7034,438,0.0016276041278615594
172,0,1,7034,482,0.004611545242369175
173,0,1,7034,1026,0.0018446180038154125
174,0,1,7034,1380,0.01128472201526165
175,0,1,7034,1762,0.0012478298740461469
176,0,1,7034,2065,0.0309787318110466
177,0,1,7034,2458,0.0013020833721384406
178,0,1,7034,2505,0.0037977430038154125
179,0,1,7034,3247,0.0010850694961845875
180,0,1,7034,3253,0.0010850694961845875
181,0,1,7034,3945,0.00396050326526165
182,0,1,7034,3990,0.0016818576259538531
183,0,1,7034,4581,0.004665798507630825
184,0,1,7034,4878,0.0047743055038154125
185,0,1,7034,4965,0.0020616319961845875
186,0,1,7034,5276,0.02620442770421505
187,0,1,7034,5333,0.00146484375
188,0,1,7034,5550,0.0012478298740461469
189,0,1,7034,5601,0.007107204757630825
190,0,1,7034,6131,0.00927734375
191,0,1,7034,6429,0.0023328992538154125
192,0,1,7034,6895,0.0017903646221384406
193,0,1,7034,7096,0.003689236007630825
194,0,1,7034,7287,0.0018446180038154125
195,0,1,7034,8614,0.010091145522892475
196,0,1,7034,8650,0.002712673507630825
197,0,1,7034,8865,0.0034722222480922937
198,0,1,7034,9487,0.02582465298473835
